Name,Year,Genre,Platform,Publisher,Global_Sales
Phoenix Wright: Ace Attorney - Trials and Tribulations,2007.0,Adventure,DS,Capcom,0.67
NHL 13,2012.0,Sports,X360,Electronic Arts,0.67
Borderlands: The Pre-Sequel,2014.0,Shooter,PS3,Take-Two Interactive,0.67
The Sims 3: High-End Loft Stuff,2010.0,Simulation,PC,Electronic Arts,0.67
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,2006.0,Misc,DS,IE Institute,0.66
Pro Pinball: Big Race USA,1999.0,Simulation,PS,Take-Two Interactive,0.66
NFL Street,2004.0,Sports,XB,Electronic Arts,0.66
Shaun White Snowboarding,2008.0,Sports,PS3,Ubisoft,0.66
The LEGO Movie Videogame,2014.0,Action,WiiU,Warner Bros. Interactive Entertainment,0.66
Tony Hawk's Proving Ground,2007.0,Sports,PS2,Activision,0.66
MLB 2004,2003.0,Sports,PS2,Sony Computer Entertainment,0.66
Naruto Shippuden: Ultimate Ninja 4,2007.0,Fighting,PS2,Atari,0.66
Tiger Woods PGA Tour 2000,1998.0,Sports,PS,Electronic Arts,0.66
Darkstone,2001.0,Role-Playing,PS,Electronic Arts,0.66
NCAA March Madness 2003,2002.0,Sports,PS2,Electronic Arts,0.66
Finding Nemo,2003.0,Action,XB,THQ,0.66
Thrillville,2006.0,Strategy,PS2,Atari,0.66
NHL 10,2009.0,Sports,X360,Electronic Arts,0.66
Jikkyou World Soccer 2000 Final Edition,2000.0,Sports,PS2,Konami Digital Entertainment,0.66
Madagascar,2005.0,Platform,GC,Activision,0.66
Puzzler Brain Games,2012.0,Puzzle,Wii,Namco Bandai Games,0.66
Dragon Quest Monsters: Caravan Heart,2003.0,Role-Playing,GBA,Enix Corporation,0.66
Strawberry Shortcake: Summertime Adventure,2004.0,Adventure,GBA,Majesco Entertainment,0.66
Rayman Legends,2013.0,Platform,PS3,Ubisoft,0.66
Rocksmith 2014,2013.0,Misc,PC,Ubisoft,0.66
Street Fighter Anniversary Collection,2004.0,Fighting,PS2,Capcom,0.66
Legend of Legaia,1998.0,Role-Playing,PS,Sony Computer Entertainment,0.66
Napoleon: Total War,2010.0,Strategy,PC,Sega,0.66
Fist of the North Star: Ken's Rage,2010.0,Action,PS3,Ubisoft Annecy,0.66
Wario: Master of Disguise,2007.0,Platform,DS,Nintendo,0.66
Toy Story 3: The Video Game,2010.0,Action,PSP,Disney Interactive Studios,0.66
The Sims: Bustin' Out,2003.0,Simulation,GC,Electronic Arts,0.66
Tiger Woods PGA Tour 09,2008.0,Sports,PS3,Electronic Arts,0.66
Keystone Kapers,1982.0,Action,2600,Activision,0.66
LEGO Marvel Super Heroes,2013.0,Action,PSV,Warner Bros. Interactive Entertainment,0.66
New Play Control! Pikmin,2008.0,Strategy,Wii,Nintendo,0.66
Shrek: Hassle at the Castle,2002.0,Action,GBA,TDK Mediactive,0.66
Suikoden IV,2004.0,Role-Playing,PS2,Konami Digital Entertainment,0.66
Gods Eater Burst,2010.0,Action,PSP,Namco Bandai Games,0.66
Disney's Kim Possible 2: Drakken's Demise,2004.0,Platform,GBA,Disney Interactive Studios,0.66
Um Jammer Lammy,1998.0,Misc,PS,Sony Computer Entertainment,0.66
Brothers In Arms: Road to Hill 30,2005.0,Shooter,XB,Ubisoft,0.66
Madden NFL 10,2009.0,Sports,PSP,Electronic Arts,0.66
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2007.0,Action,PSP,Activision,0.66
Taiko no Tatsujin DS: Touch de Dokodon!,2007.0,Misc,DS,Namco Bandai Games,0.66
F1 2015,2015.0,Racing,PS4,Codemasters,0.66
Scene It? Box Office Smash,2008.0,Misc,X360,Microsoft Game Studios,0.66
Animaniacs Ten Pin Alley,1998.0,Sports,PS,ASC Games,0.66
Disney Infinity 2.0: Marvel Super Heroes,2014.0,Action,WiiU,Disney Interactive Studios,0.65
NHL 13,2012.0,Sports,PS3,Electronic Arts,0.65
Kung Fu Panda,2008.0,Action,PS2,Activision,0.65
Tom Clancy's EndWar,2008.0,Strategy,PS3,Ubisoft,0.65
The Evil Within,2014.0,Action,XOne,Bethesda Softworks,0.65
Tiger Woods PGA Tour 09,2008.0,Sports,X360,Electronic Arts,0.65
Radiata Stories,2005.0,Role-Playing,PS2,Square Enix,0.65
F-Zero GX,2003.0,Racing,GC,Nintendo,0.65
Disney's Chicken Little,2005.0,Platform,PS2,Disney Interactive Studios,0.65
Wall-E,2008.0,Platform,PSP,THQ,0.65
Yoshi Topsy-Turvy,2004.0,Platform,GBA,Nintendo,0.65
Up,2009.0,Action,DS,THQ,0.65
Monster Jam: Maximum Destruction,2002.0,Racing,PS2,Ubisoft,0.65
Real Heroes: Firefighter,2009.0,Action,Wii,Rondomedia,0.65
Cartoon Network Block Party / Cartoon Network Speedway Double Pack,2005.0,Misc,GBA,THQ,0.65
World of Dragon Warrior - Torneko: The Last Hope,1999.0,Role-Playing,PS,Enix Corporation,0.65
Drawn to Life: The Next Chapter,2009.0,Puzzle,DS,THQ,0.65
MLB 14: The Show,2014.0,Sports,PS4,Sony Computer Entertainment America,0.65
Tiger Woods PGA Tour 10,2009.0,Sports,X360,Electronic Arts,0.65
Advance Wars 2: Black Hole Rising,2003.0,Strategy,GBA,Nintendo,0.65
Fire Emblem: Shadow Dragon,2008.0,Role-Playing,DS,Nintendo,0.65
Centipede,1998.0,Shooter,PS,Atari,0.65
Drakengard,2003.0,Role-Playing,PS2,Square Enix,0.65
SingStar Pop Hits,2007.0,Misc,PS2,Sony Computer Entertainment,0.65
Kung-Fu Master,1987.0,Action,2600,Activision,0.65
Champions: Return to Arms,2005.0,Role-Playing,PS2,Sony Online Entertainment,0.65
Harry Potter and the Goblet of Fire,2005.0,Action,PS2,Electronic Arts,0.65
SingStar R&B,2007.0,Misc,PS2,Sony Computer Entertainment,0.65
Mary-Kate and Ashley: Magical Mystery Mall,2000.0,Adventure,PS,Acclaim Entertainment,0.65
MX vs. ATV Untamed,2007.0,Racing,PSP,THQ,0.65
Disney Sing It: Party Hits,2010.0,Misc,Wii,Disney Interactive Studios,0.65
Dead or Alive 5,2012.0,Fighting,PS3,Tecmo Koei,0.65
Star Ocean: First Departure,2007.0,Role-Playing,PSP,Square Enix,0.65
Super Robot Taisen Impact,2002.0,Strategy,PS2,Banpresto,0.65
Dragon Age: Inquisition,2014.0,Role-Playing,PS3,Electronic Arts,0.65
The Black Eyed Peas Experience,2011.0,Misc,Wii,Ubisoft,0.65
Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,2008.0,Misc,DS,Namco Bandai Games,0.65
Sengoku Basara: Samurai Heroes,2010.0,Action,PS3,Capcom,0.65
Crysis 3,2013.0,Shooter,PC,Electronic Arts,0.64
Paws & Claws: Pet Vet,2007.0,Simulation,DS,THQ,0.64
Harry Potter and the Half-Blood Prince,2009.0,Action,PS2,Electronic Arts,0.64
Crash Bandicoot Purple: Ripto's Rampage,2004.0,Platform,GBA,Vivendi Games,0.64
Diablo III,2014.0,Role-Playing,XOne,Activision,0.64
Spyro: A Hero's Tail,2004.0,Platform,PS2,Vivendi Games,0.64
Crash of the Titans,2007.0,Action,PSP,Vivendi Games,0.64
Aliens: Colonial Marines,2013.0,Shooter,PS3,Sega,0.64
Crash: Twinsanity,2004.0,Platform,PS2,Vivendi Games,0.64
Max Payne 2: The Fall of Max Payne,2003.0,Shooter,XB,Take-Two Interactive,0.64
Dragon Ball: Raging Blast 2,2010.0,Fighting,X360,Namco Bandai Games,0.64
GoldenEye: Rogue Agent,2004.0,Shooter,PS2,Electronic Arts,0.64
NBA 2K17,2016.0,Sports,XOne,Take-Two Interactive,0.64
Lost Planet: Extreme Condition,2008.0,Shooter,PS3,Capcom,0.64
XCOM: Enemy Unknown,2012.0,Strategy,X360,Take-Two Interactive,0.64
Rayman 3D,2011.0,Platform,3DS,Ubisoft,0.64
LEGO Marvel's Avengers,2016.0,Action,PS4,Warner Bros. Interactive Entertainment,0.64
James Bond 007: Everything or Nothing,2004.0,Shooter,XB,Electronic Arts,0.64
X2: Wolverine's Revenge,2003.0,Platform,PS2,Activision,0.64
Stuntman: Ignition,2007.0,Racing,X360,THQ,0.64
NBA Live 06,2005.0,Sports,XB,Electronic Arts,0.64
Dragon Age II,2011.0,Action,PC,Electronic Arts,0.64
LEGO Star Wars II: The Original Trilogy,2006.0,Action,X360,LucasArts,0.64
Tom Clancy's Rainbow Six,1999.0,Shooter,N64,Red Storm Entertainment,0.64
Castlevania,1999.0,Platform,N64,Konami Digital Entertainment,0.64
Rayman 2: The Great Escape,1999.0,Platform,N64,Ubisoft,0.64
The Lord of the Rings: Conquest,2009.0,Action,X360,Electronic Arts,0.64
TimeSplitters 2,2002.0,Shooter,XB,Eidos Interactive,0.64
Onimusha: Dawn of Dreams,2006.0,Action,PS2,Capcom,0.64
NieR,2010.0,Role-Playing,PS3,Square Enix,0.64
The Princess and the Frog,2009.0,Platform,DS,Disney Interactive Studios,0.64
Sega Rally Revo,2007.0,Racing,PS3,Sega,0.64
Gravity Rush,2012.0,Action,PSV,Sony Computer Entertainment,0.64
Konami Collector's Series: Arcade Advanced,2002.0,Misc,GBA,Konami Digital Entertainment,0.64
White Knight Chronicles II,2010.0,Role-Playing,PS3,Sony Computer Entertainment,0.64
Wolfenstein,2009.0,Shooter,PS3,Activision,0.64
Jampack Volume 13 (RP-T),2005.0,Misc,PS2,Sony Computer Entertainment,0.64
LEGO Dimensions,2015.0,Action,PS4,Warner Bros. Interactive Entertainment,0.64
Start the Party!,2010.0,Misc,PS3,Sony Computer Entertainment,0.64
Cruis'n World,1998.0,Racing,N64,Nintendo,0.64
Madden NFL 2001,2000.0,Sports,N64,Electronic Arts,0.64
NBA Live 08,2007.0,Sports,PS3,Electronic Arts,0.64
The Walking Dead: Survival Instinct,2013.0,Shooter,X360,Activision,0.64
Donkey Kong Barrel Blast,2007.0,Racing,Wii,Nintendo,0.64
Okami,2008.0,Action,Wii,Capcom,0.64
Lemony Snicket's A Series of Unfortunate Events,2004.0,Platform,PS2,Activision,0.64
Middle-Earth: Shadow of Mordor,2014.0,Action,PS3,Warner Bros. Interactive Entertainment,0.64
Family Feud: 2010 Edition,2009.0,Misc,Wii,Ubisoft,0.64
Red Steel 2,2010.0,Shooter,Wii,Ubisoft,0.63
X-Men Legends II: Rise of Apocalypse,2005.0,Role-Playing,PS2,Activision,0.63
Nightmare Creatures,1997.0,Action,PS,Sony Computer Entertainment,0.63
SingStar Queen,2009.0,Misc,PS2,Sony Computer Entertainment,0.63
Just Dance 2015,2014.0,Misc,X360,Ubisoft,0.63
F1 2013,2013.0,Racing,PS3,Codemasters,0.63
Juiced 2: Hot Import Nights,2007.0,Racing,X360,THQ,0.63
Tony Hawk's Pro Skater 2x,2001.0,Sports,XB,Activision,0.63
Sim Theme Park,1999.0,Strategy,PS,Electronic Arts,0.63
FIFA Soccer 2003,2002.0,Sports,XB,Electronic Arts,0.63
Ghostbusters: The Video Game,2009.0,Action,X360,Atari,0.63
NASCAR 06: Total Team Control,2005.0,Racing,PS2,Electronic Arts,0.63
Tony Hawk's Project 8,2006.0,Sports,PS3,Activision,0.63
Dogz,2004.0,Simulation,GBA,Ubisoft,0.63
Disney Universe,2011.0,Action,PS3,Disney Interactive Studios,0.63
Guitar Hero: Metallica,2009.0,Misc,PS3,Activision,0.63
Iron Man,2008.0,Action,PSP,Sega,0.63
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,2012.0,Misc,3DS,Namco Bandai Games,0.63
Harry Potter and the Half-Blood Prince,2009.0,Action,DS,Electronic Arts,0.63
A Bug's Life,1998.0,Platform,N64,Activision,0.63
Super Castlevania IV,1991.0,Platform,SNES,Konami Digital Entertainment,0.63
DJ Hero 2,2010.0,Misc,Wii,Activision,0.63
Angry Birds Trilogy,2012.0,Action,3DS,Activision,0.63
Condemned 2: Bloodshot,2008.0,Action,X360,Sega,0.63
Cabela's Big Game Hunter (2008),2007.0,Sports,Wii,Activision,0.63
Mobile Suit Z Gundam: AEUG vs. Titans,2003.0,Fighting,PS2,Namco Bandai Games,0.63
Just Dance 3,2011.0,Misc,PS3,Ubisoft,0.63
Call of Duty: Black Ops,2010.0,Shooter,DS,Activision,0.63
God of War III,2015.0,Action,PS4,Sony Computer Entertainment,0.63
Ape Escape 2,2002.0,Platform,PS2,Sony Computer Entertainment,0.63
Metroid Prime: Trilogy,2009.0,Shooter,Wii,Nintendo,0.63
X-Man,1982.0,Action,2600,Universal Gamex,0.63
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009.0,Shooter,X360,Activision,0.63
The Sims 3: Generations,2011.0,Simulation,PC,Electronic Arts,0.63
The Crew,2014.0,Racing,XOne,Ubisoft,0.63
Battle of Giants: Dragons,2009.0,Strategy,DS,Ubisoft,0.63
Dragon Quest Monsters Joker 3,2016.0,Role-Playing,3DS,Square Enix,0.63
Sonic & All-Stars Racing Transformed,2012.0,Racing,X360,Sega,0.63
Shin Megami Tensei: Persona 3 FES,2007.0,Role-Playing,PS2,Tecmo Koei,0.63
FIFA Soccer 2002,2001.0,Sports,PS2,Electronic Arts,0.63
Shin Megami Tensei: Persona 3 Portable,2009.0,Role-Playing,PSP,Ghostlight,0.63
Final Fantasy VII International,1997.0,Role-Playing,PS,Square,0.63
Tiger Woods PGA Tour 12: The Masters,2011.0,Sports,X360,Electronic Arts,0.63
Okami,2006.0,Action,PS2,Capcom,0.63
NHL 2001,2000.0,Sports,PS,Electronic Arts,0.63
World of Zoo,2009.0,Simulation,Wii,THQ,0.63
LEGO Jurassic World,2015.0,Action,XOne,Warner Bros. Interactive Entertainment,0.63
Wet,2009.0,Shooter,PS3,Bethesda Softworks,0.63
MySims Racing,2009.0,Racing,DS,Electronic Arts,0.63
Buzz Lightyear of Star Command,2000.0,Platform,PS,Activision,0.63
Namco Museum,2002.0,Misc,GC,Namco Bandai Games,0.63
Nobunaga no Yabou: Haouden,1993.0,Strategy,SNES,Tecmo Koei,0.62
Virtua Cop,1995.0,Shooter,SAT,Sega,0.62
Tony Hawk's American Wasteland,2005.0,Sports,XB,Activision,0.62
WWF in Your House,1996.0,Fighting,PS,Acclaim Entertainment,0.62
Prince of Persia: The Forgotten Sands,2010.0,Action,X360,Ubisoft,0.62
Vanquish,2010.0,Shooter,PS3,Sega,0.62
Wild ARMs 3,2002.0,Role-Playing,PS2,Ubisoft,0.62
NBA ShootOut '97,1997.0,Sports,PS,Sony Computer Entertainment,0.62
Sacred 2: Fallen Angel,2009.0,Role-Playing,PS3,Deep Silver,0.62
Madden NFL 07,2006.0,Sports,GC,Electronic Arts,0.62
Far Cry 4,2014.0,Shooter,PC,Ubisoft,0.62
Battlezone,1982.0,Shooter,2600,Atari,0.62
Tiger Woods PGA Tour 2004,2003.0,Sports,XB,Electronic Arts,0.62
LEGO Pirates of the Caribbean: The Video Game,2011.0,Action,3DS,Disney Interactive Studios,0.62
Pro Evolution Soccer 2015,2014.0,Sports,PS3,Konami Digital Entertainment,0.62
Evolve,2015.0,Shooter,XOne,Take-Two Interactive,0.62
Tak 2: The Staff of Dreams,2004.0,Platform,PS2,THQ,0.62
Dead Island: Riptide,2013.0,Action,PS3,Deep Silver,0.62
Warriors Orochi 3,2011.0,Action,PS3,Ubisoft Annecy,0.62
Bolt,2008.0,Adventure,DS,Disney Interactive Studios,0.62
Viewtiful Joe,2003.0,Action,GC,Capcom,0.62
The Urbz: Sims in the City,2004.0,Simulation,GBA,Electronic Arts,0.62
Beetle Adventure Racing!,1999.0,Racing,N64,Electronic Arts,0.62
FIFA Soccer,2012.0,Sports,PSV,Electronic Arts,0.62
Disney's 102 Dalmatians: Puppies to the Rescue,2000.0,Platform,PS,Eidos Interactive,0.62
Wipeout: The Game,2010.0,Misc,DS,Activision,0.62
Strike Force Bowling,2004.0,Sports,PS2,Play It,0.62
SpongeBob's Atlantis SquarePantis,2007.0,Action,Wii,THQ,0.62
Metal Gear Solid V: Ground Zeroes,2014.0,Action,PS3,Konami Digital Entertainment,0.62
Halloween,1982.0,Action,2600,Wizard Video Games,0.62
Dragon Ball Z: Ultimate Tenkaichi,2011.0,Fighting,PS3,Namco Bandai Games,0.62
WWE SmackDown vs. Raw 2010,2009.0,Fighting,PSP,THQ,0.62
Bass Landing,1999.0,Sports,PS,ASCII Entertainment,0.62
XGRA: Extreme G-Racing Association,2004.0,Racing,PS2,Eidos Interactive,0.62
Mario's Picross,1995.0,Puzzle,GB,Nintendo,0.62
Pac-Man Player's Choice Bundle,2003.0,Misc,GC,Namco Bandai Games,0.62
Rocksmith 2014,2014.0,Misc,PS4,Ubisoft,0.62
Fighters MEGAMiX,1996.0,Fighting,SAT,Sega,0.62
Bahamut Lagoon,1996.0,Role-Playing,SNES,SquareSoft,0.62
Wall-E,2008.0,Platform,X360,THQ,0.62
Tomb Raider III: Adventures of Lara Croft,1998.0,Action,PC,Eidos Interactive,0.62
Toshochu: Run for Money,2012.0,Adventure,3DS,Namco Bandai Games,0.62
Dragon Quest Monsters: Joker 2 Professional,2011.0,Role-Playing,DS,Square Enix,0.62
NFL Quarterback Club 99,1998.0,Sports,N64,Acclaim Entertainment,0.62
Super Robot Taisen α Gaiden,2001.0,Strategy,PS,Banpresto,0.62
Formula 1: Championship Edition,2006.0,Racing,PS3,Sony Computer Entertainment,0.61
Muramasa: The Demon Blade,2009.0,Role-Playing,Wii,Rising Star Games,0.61
NBA 2K9,2008.0,Sports,PS3,Take-Two Interactive,0.61
SingStar Singalong With Disney,2008.0,Misc,PS2,Sony Computer Entertainment,0.61
NHL 16,2015.0,Sports,PS4,Electronic Arts,0.61
Plants vs. Zombies: Garden Warfare,2014.0,Shooter,PS4,Electronic Arts,0.61
NFL Fever 2003,2002.0,Sports,XB,Microsoft Game Studios,0.61
Samurai Warriors 2,2006.0,Action,PS2,Tecmo Koei,0.61
Dynasty Warriors 8,2013.0,Action,PS3,Tecmo Koei,0.61
Disney Sing It: Family Hits,2010.0,Misc,Wii,Disney Interactive Studios,0.61
2 Games in 1: Sonic Battle & ChuChu Rocket!,2005.0,Misc,GBA,THQ,0.61
Robotech: Battlecry,2002.0,Shooter,PS2,TDK Mediactive,0.61
Dora the Explorer: Super Spies,2004.0,Platform,GBA,Gotham Games,0.61
New Carnival Games,2010.0,Misc,Wii,Take-Two Interactive,0.61
Tony Hawk: RIDE,2009.0,Sports,X360,Activision,0.61
Just Dance 2014,2013.0,Misc,WiiU,Ubisoft,0.61
Cooking Mama 4: Kitchen Magic!,2011.0,Simulation,3DS,505 Games,0.61
Texas Hold 'Em Poker,2004.0,Misc,GBA,Majesco Entertainment,0.61
Time Crisis 3,2003.0,Shooter,PS2,Namco Bandai Games,0.61
Cabela's Monster Buck Hunter,2010.0,Sports,Wii,Activision,0.61
Ganbaru Watashi no Kakei Diary,2007.0,Misc,DS,Nintendo,0.61
pro evolution soccer 2011,2010.0,Sports,X360,Konami Digital Entertainment,0.61
New Play Control! Donkey Kong Jungle Beat,2008.0,Platform,Wii,Nintendo,0.61
Small Soldiers,1998.0,Platform,PS,Electronic Arts,0.61
Yakuza: Dead Souls,2011.0,Shooter,PS3,Sega,0.61
Littlest Pet Shop: Garden,2008.0,Simulation,DS,Electronic Arts,0.61
Half-Life 2,2005.0,Shooter,XB,Electronic Arts,0.61
Duke Nukem: Total Meltdown,1997.0,Shooter,PS,GT Interactive,0.61
Pac-Man Party,2010.0,Misc,Wii,Namco Bandai Games,0.61
Jak and Daxter: The Lost Frontier,2009.0,Platform,PSP,Sony Computer Entertainment,0.61
Major League Baseball 2K8,2008.0,Sports,X360,Bethesda Softworks,0.61
SimCity DS,2007.0,Simulation,DS,Electronic Arts,0.61
Major League Baseball 2K9,2009.0,Sports,X360,Spike,0.61
Petz: Dogz Pack,2008.0,Simulation,DS,Ubisoft,0.61
Split/Second,2010.0,Racing,X360,Disney Interactive Studios,0.61
Final Fantasy IV Advance,2005.0,Role-Playing,GBA,Nintendo,0.61
Madden NFL 2003,2002.0,Sports,GBA,Electronic Arts,0.61
Tomb Raider Chronicles,1999.0,Action,PS,Eidos Interactive,0.61
Harry Potter and the Goblet of Fire,2005.0,Action,GBA,Electronic Arts,0.61
Dragon Ball Z: Buu's Fury,2004.0,Action,GBA,Atari,0.61
Madden NFL 2002,2001.0,Sports,GC,Electronic Arts,0.61
Guitar Hero: Smash Hits,2009.0,Misc,Wii,Activision,0.61
Disney TH!NK Fast: The Ultimate Trivia Showdown,2008.0,Misc,Wii,Disney Interactive Studios,0.61
Spider-Man: Mysterio's Menace,2001.0,Action,GBA,Activision,0.61
Madden NFL 2000,1999.0,Sports,N64,Electronic Arts,0.61
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2007.0,Action,X360,Activision,0.61
Game & Watch Gallery 4,2002.0,Misc,GBA,Nintendo,0.61
Littlest Pet Shop: Jungle,2008.0,Simulation,DS,Electronic Arts,0.61
Naruto: Ultimate Ninja,2003.0,Fighting,PS2,Atari,0.61
Fighters Uncaged,2010.0,Fighting,X360,Ubisoft,0.61
Call of Juarez: Bound in Blood,2009.0,Shooter,X360,Ubisoft,0.61
New Play Control! Pikmin 2,2009.0,Strategy,Wii,Nintendo,0.6
Tony Hawk's Underground,2003.0,Sports,GBA,Activision,0.6
Hot Shots Golf: World Invitational,2011.0,Sports,PSV,Sony Computer Entertainment,0.6
Monster Trucks,2004.0,Racing,GBA,Majesco Entertainment,0.6
Shadow The Hedgehog,2005.0,Platform,PS2,Sega,0.6
Wave Race: Blue Storm,2001.0,Racing,GC,Nintendo,0.6
Backyard Wrestling: Don't Try This at Home,2003.0,Fighting,PS2,Eidos Interactive,0.6
Fight Night Round 2,2005.0,Fighting,XB,Electronic Arts,0.6
MonHun Nikki: Poka Poka Ailu Mura,2010.0,Role-Playing,PSP,Capcom,0.6
The Golden Compass,2007.0,Action,DS,Sega,0.6
NBA 2K8,2007.0,Sports,PS2,Take-Two Interactive,0.6
Phineas and Ferb: Across the 2nd Dimension,2011.0,Action,Wii,Disney Interactive Studios,0.6
Disney Infinity,2013.0,Action,WiiU,Disney Interactive Studios,0.6
WarioWare D.I.Y.,2009.0,Misc,DS,Nintendo,0.6
Tony Hawk: RIDE,2009.0,Sports,PS3,Activision,0.6
LEGO Jurassic World,2015.0,Action,3DS,Warner Bros. Interactive Entertainment,0.6
Alice: Madness Returns,2011.0,Adventure,PS3,Electronic Arts,0.6
LEGO The Hobbit,2014.0,Action,PS4,Warner Bros. Interactive Entertainment,0.6
Suikoden,1995.0,Role-Playing,PS,Konami Digital Entertainment,0.6
Secret Agent Clank,2009.0,Platform,PS2,Sony Computer Entertainment,0.6
Rayman Arena,2001.0,Racing,PS2,Ubisoft,0.6
Avatar: The Game,2009.0,Action,PSP,Ubisoft,0.6
Jaws Unleashed,2006.0,Action,PS2,THQ,0.6
Puyo Puyo Sun,1997.0,Puzzle,SAT,Compile,0.6
Half-Life,2001.0,Shooter,PS2,Vivendi Games,0.6
Tomb Raider (2013),2014.0,Action,XOne,Square Enix,0.6
Mickey's Speedway USA,2000.0,Racing,N64,Nintendo,0.6
International Superstar Soccer 64,1997.0,Sports,N64,Konami Digital Entertainment,0.6
Skylanders SWAP Force,2013.0,Platform,WiiU,Activision,0.6
NASCAR Heat 2002,2001.0,Racing,PS2,Infogrames,0.6
Disney Sing It! High School Musical 3: Senior Year,2008.0,Misc,Wii,Disney Interactive Studios,0.6
From TV Animation One Piece: Grand Battle 2,2002.0,Fighting,PS,Namco Bandai Games,0.6
BeatMania Append 3rdMix,1998.0,Simulation,PS,Konami Digital Entertainment,0.6
PGR3 - Project Gotham Racing 3,2005.0,Racing,X360,Microsoft Game Studios,0.6
XCOM: Enemy Unknown,2012.0,Strategy,PS3,Take-Two Interactive,0.6
Blur,2010.0,Racing,X360,Activision,0.6
Xena: Warrior Princess,1998.0,Adventure,PS,Electronic Arts,0.6
Scribblenauts: Unlimited,2012.0,Action,3DS,Warner Bros. Interactive Entertainment,0.6
Front Mission,1995.0,Strategy,SNES,SquareSoft,0.6
NHL 11,2010.0,Sports,PS3,Electronic Arts,0.6
Kinect Rush: A Disney Pixar Adventure,2012.0,Adventure,X360,Microsoft Game Studios,0.6
Monopoly,2008.0,Misc,X360,Electronic Arts,0.6
Disney Infinity 2.0: Marvel Super Heroes,2014.0,Action,PS4,Disney Interactive Studios,0.6
Major League Baseball 2K7,2007.0,Sports,PS2,Spike,0.6
Asphalt: Urban GT,2004.0,Racing,DS,Ubisoft,0.6
The Fight: Lights Out,2010.0,Fighting,PS3,Sony Computer Entertainment,0.6
Dai-2-Ji Super Robot Taisen α,2003.0,Strategy,PS2,Banpresto,0.6
Pokemon Trozei!,2005.0,Puzzle,DS,Nintendo,0.6
Dead Space,2008.0,Action,PC,Electronic Arts,0.59
Hot Wheels: Stunt Track Challenge,2004.0,Racing,PS2,THQ,0.59
Rayman Origins,2012.0,Platform,PSV,Ubisoft,0.59
London 2012: The Official Video Game of the Olympic Games,2012.0,Sports,X360,Sega,0.59
Beijing 2008,2008.0,Sports,X360,Sega,0.59
Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,2005.0,Strategy,PS2,Banpresto,0.59
Jeopardy!,2010.0,Misc,Wii,THQ,0.59
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,1997.0,Sports,PS,Konami Digital Entertainment,0.59
Assassin's Creed: Brotherhood,2011.0,Action,PC,Ubisoft,0.59
CyberTiger,1998.0,Sports,PS,Electronic Arts,0.59
Jampack Fall 2001,2001.0,Misc,PS,Sony Computer Entertainment,0.59
Medal of Honor: Frontline,2002.0,Shooter,GC,Electronic Arts,0.59
Final Fantasy: The 4 Heroes of Light,2009.0,Role-Playing,DS,Square Enix,0.59
Iron Man,2008.0,Action,Wii,Sega,0.59
Kane & Lynch 2: Dog Days,2010.0,Shooter,PS3,Square Enix,0.59
NFL Blitz 2001,2000.0,Sports,PS,Midway Games,0.59
Total War: Shogun 2,2011.0,Strategy,PC,Sega,0.59
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,1998.0,Sports,PS,Konami Digital Entertainment,0.59
Rock Band 2,2008.0,Misc,PS2,MTV Games,0.59
Yakuza 5,2012.0,Action,PS3,Sega,0.59
LEGO Indiana Jones 2: The Adventure Continues,2009.0,Action,PSP,Activision,0.59
BurgerTime,1981.0,Puzzle,2600,Mattel Interactive,0.59
Naruto: The Broken Bond,2008.0,Action,X360,Ubisoft,0.59
2002 FIFA World Cup,2002.0,Sports,PS2,Electronic Arts,0.59
MVP Baseball 2004,2004.0,Sports,XB,Electronic Arts,0.59
Crash Bandicoot: The Wrath of Cortex,2002.0,Platform,GC,Universal Interactive,0.59
Smurf: Rescue In Gargamel's Castle,1981.0,Action,2600,Coleco,0.59
Spelling Challenges and more!,2007.0,Misc,DS,505 Games,0.59
Go Diego Go! Great Dinosaur Rescue,2008.0,Action,Wii,Take-Two Interactive,0.59
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2007.0,Action,Wii,Activision,0.59
Extreme-G,1997.0,Racing,N64,Acclaim Entertainment,0.59
Ready 2 Rumble Boxing,1999.0,Sports,N64,Midway Games,0.59
Payday 2,2013.0,Shooter,X360,505 Games,0.59
Dead or Alive Xtreme Beach Volleyball,2003.0,Sports,XB,Microsoft Game Studios,0.59
Tales of Rebirth,2004.0,Role-Playing,PS2,Namco Bandai Games,0.59
SoulCalibur V,2012.0,Fighting,X360,Namco Bandai Games,0.59
NHL 12,2011.0,Sports,PS3,Electronic Arts,0.59
Tales of Zestiria,2015.0,Role-Playing,PS3,Namco Bandai Games,0.59
